Retailer Id,State,Adhaar KYC,Pan KYC,Bank KYC,Last Scanned,Scan Gap,Total Points,Redemptions,Registered At,Unmapped,Retailer Earning,Redemption Amount,AMUL_ratio,MACHO_ratio,SPORTO_ratio,SPORTO RED_ratio,Days_Since_Last_Scan
62383,6,0,1,1,1754336586.0,28.0,25.0,0.0,1751660137.0,0,25.0,0.0,0.0,0.0,200000.0,0.0,-1
62384,6,0,0,1,-2208988800.0,12.0,285.0,0.0,1751660634.0,0,285.0,0.0,0.7499990625011719,1.4999981250023438,0.0,0.0,0
62387,9,0,1,1,1738790918.0,4.0,247.5,0.0,1751662042.0,0,247.5,0.0,1.8888867901257889,0.0,0.0,0.0,0
62388,12,0,0,1,-2208988800.0,22.0,240.0,0.0,1751662436.0,0,240.0,0.0,100000.0,0.0,1000000.0,0.0,0
62390,6,0,1,1,1746478760.0,1.0,377.5,0.0,1751663851.0,0,377.5,0.0,2600000.0,200000.0,0.0,0.0,0
62391,12,0,0,1,1751666737.0,29.0,15.0,0.0,1751666686.0,0,15.0,0.0,0.0344827467300873,0.0,0.0,0.0,-1
62392,12,0,0,0,-2208988800.0,13.0,150.0,135.0,1751668822.0,0,150.0,135.0,9.99990000099999,0.0,0.0,0.0,0
62394,10,0,0,0,-2208988800.0,21.0,90.0,0.0,1754295180.0,0,90.0,0.0,600000.0,0.0,0.0,0.0,0
62395,3,0,1,1,1754333248.0,28.0,157.5,0.0,1754301742.0,0,157.5,0.0,1300000.0,0.0,0.0,0.0,-1
62396,10,0,0,1,1759583531.0,26.0,200.0,0.0,1754304402.0,0,200.0,0.0,0.0,1.4285693877580177,0.0,0.0,-1
62397,4,0,0,1,-2208988800.0,21.0,240.0,0.0,1754305479.0,0,240.0,0.0,1.6666638888935186,0.1666663888893518,0.9999983333361112,0.0,0
62398,6,0,0,1,1754306883.0,28.0,375.0,0.0,1754305722.0,0,375.0,0.0,3199999.9999999995,0.0,0.0,0.0,-1
62400,8,0,1,1,1754306178.0,28.0,20.0,0.0,1754306007.0,0,20.0,0.0,0.0,0.0163934399355016,0.0,0.0,-1
62403,4,0,0,1,-2208988800.0,22.0,3005.0,3004.0,1754307181.0,0,3005.0,3004.0,99.99900000999988,97.99902000979988,1.9999800001999977,0.0,0
62404,7,0,1,0,1754307800.0,28.0,15.0,0.0,1754307359.0,0,15.0,0.0,0.0833332638889467,0.0,0.0,0.0,-1
62405,9,0,1,1,-2208988800.0,11.0,220.0,0.0,1754307405.0,0,220.0,0.0,0.0,2.749993125017188,0.0,0.0,0
62406,7,0,0,0,1738756576.0,4.0,57.5,0.0,1754307461.0,0,57.5,57.0,400000.0,100000.0,0.0,0.0,0
62407,9,0,0,0,-2208988800.0,23.0,205.0,0.0,1754307955.0,0,205.0,0.0,0.0,0.6666655555574075,1.6666638888935186,0.0,0
62408,3,0,1,1,1754308212.0,28.0,150.0,0.0,1754308041.0,0,150.0,0.0,0.0,0.0,1000000.0,0.0,-1
62409,12,0,0,0,1736092708.0,5.0,665.0,2725.0,1754308090.0,0,665.0,2725.0,0.1874999414062683,0.4687498535156707,0.3437498925781585,0.0,0
62411,6,0,1,0,1749124636.0,0.0,325.0,325.0,1754308827.0,0,325.0,325.0,1.099999450000275,0.099999950000025,0.0,0.0,-1
62412,6,0,1,1,-2208988800.0,16.0,437.5,0.0,1754308980.0,0,437.5,0.0,2200000.0,899999.9999999999,500000.0,0.0,0
62413,9,0,0,1,-2208988800.0,19.0,455.0,0.0,1754309167.0,0,455.0,0.0,0.1999998000002,2.1999978000022,0.0,0.0,0
